Total marks,Percentage in Communication skills,Hours working per day,Logical quotient rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,talenttests taken?,olympiads,reading and writing skills,memory capability score,Higher Studies?,Taken inputs from seniors or elders,interested in games,Tuff behaviour?,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role,interested career area ,Interested Type of Books
71,90,4,2,8,no,yes,yes,yes,no,1,2,higherstudies,no,yes,gentle,Technical,hard worker,no,yes,Programmer Analyst,Business process analyst,Self help
93,75,11,5,1,no,yes,no,no,yes,3,1,job,no,yes,stubborn,Technical,smart worker,no,no,Business Systems Analyst,testing,Childrens
87,87,7,7,5,yes,yes,no,no,yes,3,3,job,yes,no,stubborn,Technical,hard worker,no,no,Systems Security Administrator,testing,Horror
68,65,10,9,5,no,yes,no,no,yes,3,1,job,no,yes,gentle,Management,hard worker,no,no,Business Systems Analyst,system developer,Childrens
87,76,11,8,9,yes,no,no,no,yes,1,3,job,yes,yes,stubborn,Technical,smart worker,yes,no,Design & UX,security,Trilogy
83,80,9,8,9,no,yes,no,yes,yes,3,3,job,no,yes,stubborn,Technical,smart worker,no,yes,Solutions Architect,testing,Childrens
82,78,11,3,5,no,no,yes,no,no,1,1,job,no,yes,gentle,Technical,hard worker,no,yes,Business Systems Analyst,Business process analyst,Encyclopedias
78,94,9,8,4,no,yes,no,no,no,3,1,job,no,no,stubborn,Management,smart worker,no,yes,Systems Analyst,Business process analyst,Encyclopedias
68,63,8,8,7,yes,no,no,yes,no,2,2,job,yes,yes,stubborn,Technical,smart worker,no,yes,Network Security Administrator,testing,Action and Adventure
70,62,10,6,8,yes,yes,yes,yes,yes,1,1,job,no,yes,gentle,Technical,hard worker,yes,no,Data Architect,Business process analyst,Anthology
81,84,5,5,9,yes,yes,yes,yes,yes,1,3,higherstudies,yes,yes,gentle,Technical,hard worker,no,yes,CRM Technical Developer,testing,Action and Adventure
94,64,5,9,9,no,yes,no,yes,no,2,3,job,no,yes,stubborn,Technical,smart worker,no,no,Software Developer,cloud computing,Dictionaries
60,94,5,3,7,no,yes,yes,yes,no,2,2,higherstudies,yes,yes,gentle,Technical,hard worker,no,no,E-Commerce Analyst,security,Fantasy
93,88,11,7,1,yes,yes,yes,no,yes,1,2,job,no,yes,gentle,Management,smart worker,yes,no,Technical Services/Help Desk/Tech Support,Business process analyst,Childrens
64,78,8,9,8,yes,yes,no,yes,no,1,3,higherstudies,yes,yes,gentle,Technical,hard worker,yes,no,Systems Analyst,security,Drama
79,73,5,5,4,yes,yes,no,yes,no,1,2,higherstudies,no,no,stubborn,Management,hard worker,yes,no,Information Technology Auditor,Business process analyst,Comics
75,70,4,7,9,yes,yes,no,no,yes,1,3,higherstudies,yes,no,stubborn,Technical,hard worker,no,no,Network Security Administrator,security,Art
85,78,7,7,5,no,yes,yes,yes,no,2,2,job,yes,no,stubborn,Technical,smart worker,no,yes,Database Manager,system developer,Horror
63,84,9,7,5,yes,yes,no,yes,no,1,1,job,no,no,stubborn,Management,hard worker,yes,yes,Web Developer,cloud computing,Self help
91,81,10,5,5,no,no,no,yes,no,3,1,job,yes,no,stubborn,Technical,hard worker,yes,no,Information Security Analyst,system developer,Diaries
93,92,12,2,5,yes,yes,no,no,yes,3,1,higherstudies,yes,yes,stubborn,Technical,smart worker,no,no,E-Commerce Analyst,security,Science fiction
63,69,11,4,4,yes,no,yes,yes,no,1,2,job,no,no,stubborn,Management,smart worker,no,yes,Technical Services/Help Desk/Tech Support,cloud computing,Comics
78,78,4,5,2,yes,yes,no,yes,yes,1,1,higherstudies,no,yes,stubborn,Management,smart worker,yes,no,Applications Developer,testing,Series
74,71,6,8,6,no,yes,yes,yes,yes,2,2,higherstudies,no,yes,stubborn,Technical,hard worker,no,yes,Software Systems Engineer,security,Childrens
67,73,10,3,8,no,yes,yes,yes,yes,1,1,job,yes,no,stubborn,Technical,hard worker,no,yes,CRM Technical Developer,Business process analyst,Self help
60,77,10,6,8,yes,yes,no,yes,no,1,1,higherstudies,no,no,stubborn,Technical,smart worker,yes,no,Database Manager,system developer,Guide
67,68,8,3,3,yes,no,no,yes,yes,1,1,higherstudies,no,yes,gentle,Technical,hard worker,yes,no,Technical Support,cloud computing,Biographies
74,75,5,9,7,no,no,no,yes,no,1,2,job,no,yes,gentle,Technical,smart worker,no,no,Database Administrator,testing,Series
73,92,9,5,9,yes,yes,yes,yes,no,3,1,job,yes,no,stubborn,Technical,smart worker,no,yes,Network Engineer,developer,Health
92,93,6,3,8,yes,no,yes,no,no,1,1,job,yes,yes,stubborn,Technical,hard worker,no,yes,Mobile Applications Developer,security,Diaries
66,75,4,7,4,no,no,no,yes,yes,1,3,job,yes,yes,stubborn,Management,hard worker,yes,yes,Technical Services/Help Desk/Tech Support,developer,Journals
78,86,7,2,7,no,no,yes,yes,yes,1,3,job,no,yes,stubborn,Management,hard worker,no,no,Technical Support,Business process analyst,Diaries
85,89,7,6,5,yes,yes,no,yes,no,2,2,job,yes,no,stubborn,Technical,hard worker,yes,no,Information Technology Manager,security,Diaries
67,70,10,1,5,yes,no,no,no,yes,1,1,higherstudies,yes,no,stubborn,Management,smart worker,yes,yes,E-Commerce Analyst,developer,Art
79,64,10,2,8,yes,no,no,no,no,2,2,job,yes,no,stubborn,Management,hard worker,no,yes,Software Developer,security,Prayer books
70,61,9,8,8,no,no,no,no,yes,3,1,job,yes,no,stubborn,Management,smart worker,no,yes,Solutions Architect,cloud computing,Guide
75,70,8,3,3,no,yes,yes,no,no,2,3,higherstudies,no,no,gentle,Management,hard worker,yes,no,Software Systems Engineer,system developer,Childrens
80,76,12,7,6,no,yes,yes,yes,yes,2,1,job,yes,yes,gentle,Management,smart worker,yes,no,Network Engineer,security,Art
61,83,8,3,4,yes,no,no,yes,no,3,2,job,yes,yes,gentle,Management,smart worker,yes,yes,Technical Support,system developer,History
81,67,4,6,7,yes,no,yes,yes,no,1,1,higherstudies,no,no,gentle,Technical,hard worker,yes,no,Information Technology Manager,developer,Health
71,94,5,7,3,no,no,yes,yes,yes,1,3,job,no,no,stubborn,Technical,smart worker,no,no,Software Engineer,security,Anthology
92,75,5,4,1,yes,no,yes,no,yes,1,2,higherstudies,yes,yes,gentle,Management,hard worker,yes,no,Software Developer,testing,Science fiction
63,63,5,5,8,no,yes,no,yes,no,2,3,higherstudies,yes,yes,stubborn,Management,smart worker,yes,yes,Programmer Analyst,Business process analyst,Travel
66,78,9,1,9,no,no,no,no,no,3,1,higherstudies,yes,no,stubborn,Management,smart worker,yes,no,CRM Business Analyst,testing,Guide
73,94,7,9,2,yes,yes,no,no,no,3,1,job,no,no,stubborn,Technical,hard worker,no,yes,Software Developer,security,Autobiographies
71,73,6,5,1,yes,no,no,yes,yes,2,2,job,yes,no,stubborn,Management,hard worker,no,no,Business Intelligence Analyst,system developer,Biographies
94,80,10,2,8,no,no,no,no,no,2,1,job,yes,no,gentle,Technical,hard worker,no,no,Database Administrator,testing,Encyclopedias
89,69,8,6,5,no,yes,no,yes,yes,1,3,job,yes,no,gentle,Management,hard worker,yes,no,Technical Engineer,testing,Satire
82,63,10,5,3,yes,no,no,yes,yes,3,1,higherstudies,no,yes,gentle,Technical,hard worker,no,no,Data Architect,developer,Health
91,83,8,5,9,yes,yes,yes,yes,yes,2,2,higherstudies,yes,no,stubborn,Technical,hard worker,yes,yes,Network Security Engineer,developer,Science
69,79,5,6,4,yes,no,no,no,yes,3,3,higherstudies,yes,no,stubborn,Management,smart worker,no,no,CRM Technical Developer,security,Self help
62,85,6,7,1,yes,no,yes,yes,yes,3,3,higherstudies,yes,yes,gentle,Technical,hard worker,yes,no,Software Developer,system developer,Satire
92,65,12,9,3,yes,yes,yes,no,yes,2,2,job,no,yes,stubborn,Technical,hard worker,no,yes,Systems Security Administrator,security,Prayer books
90,66,11,7,4,yes,yes,yes,yes,no,3,3,job,no,yes,gentle,Technical,smart worker,no,no,Network Engineer,cloud computing,Encyclopedias
66,61,11,6,1,yes,no,no,no,no,2,3,higherstudies,no,no,gentle,Management,smart worker,yes,yes,Technical Services/Help Desk/Tech Support,testing,Drama
63,68,7,8,1,no,no,no,yes,yes,1,1,higherstudies,yes,no,stubborn,Technical,hard worker,no,no,Systems Security Administrator,testing,Health
93,78,9,4,2,yes,yes,yes,yes,yes,1,2,higherstudies,no,yes,gentle,Management,smart worker,yes,yes,Web Developer,security,Action and Adventure
87,84,8,9,6,no,yes,no,no,no,1,1,higherstudies,yes,yes,gentle,Technical,hard worker,no,no,Portal Administrator,testing,Fantasy
83,75,5,6,8,yes,yes,no,no,yes,1,3,job,yes,yes,stubborn,Management,smart worker,yes,no,Software Developer,system developer,Anthology
93,74,11,3,8,no,no,yes,yes,yes,2,3,higherstudies,no,no,stubborn,Management,hard worker,no,yes,Network Security Engineer,Business process analyst,Biographies
83,72,5,2,4,yes,no,yes,no,no,3,3,job,no,yes,gentle,Technical,smart worker,no,yes,Solutions Architect,system developer,Horror
94,83,5,7,8,no,yes,no,yes,no,1,3,job,no,yes,gentle,Management,smart worker,yes,yes,Network Security Administrator,developer,Poetry
75,60,12,9,6,no,yes,yes,yes,yes,3,3,job,no,no,gentle,Management,hard worker,yes,yes,Portal Administrator,cloud computing,Romance
86,86,7,5,3,no,yes,yes,no,no,3,1,job,yes,yes,stubborn,Technical,hard worker,no,no,UX Designer,security,Anthology
61,73,4,1,2,yes,no,yes,no,no,2,1,job,no,yes,stubborn,Management,hard worker,yes,no,Project Manager,cloud computing,Self help
63,64,10,1,2,no,yes,no,yes,no,2,1,higherstudies,no,yes,gentle,Management,smart worker,yes,no,Project Manager,cloud computing,Horror
81,81,5,2,3,yes,no,yes,yes,yes,3,1,job,yes,yes,gentle,Technical,hard worker,yes,yes,Network Engineer,cloud computing,History
90,82,7,2,5,no,no,yes,no,yes,3,3,job,yes,yes,stubborn,Management,smart worker,no,no,Quality Assurance Associate,Business process analyst,Fantasy
70,93,6,7,3,no,no,yes,no,no,3,2,higherstudies,yes,no,gentle,Technical,hard worker,no,yes,Applications Developer,system developer,Autobiographies
66,67,8,2,8,no,yes,yes,no,no,3,3,job,no,no,gentle,Management,hard worker,yes,no,Technical Engineer,system developer,Guide
70,68,6,2,8,no,no,no,no,no,3,2,job,no,no,stubborn,Management,hard worker,yes,yes,Network Security Administrator,security,Prayer books
81,66,5,8,6,yes,no,yes,yes,no,2,3,higherstudies,yes,yes,stubborn,Management,smart worker,yes,no,CRM Technical Developer,cloud computing,Science fiction
61,71,10,7,7,no,yes,yes,no,no,2,1,job,no,no,stubborn,Technical,hard worker,yes,yes,E-Commerce Analyst,developer,Horror
64,86,6,3,3,yes,no,yes,yes,yes,3,3,job,yes,no,gentle,Management,smart worker,no,yes,Software Quality Assurance (QA) / Testing,developer,Guide
71,76,12,2,1,yes,yes,no,yes,yes,1,2,job,no,yes,stubborn,Technical,hard worker,yes,yes,Network Security Administrator,cloud computing,Art
88,69,12,8,8,no,yes,yes,no,yes,1,1,job,no,yes,gentle,Management,hard worker,no,yes,Network Engineer,testing,Self help
66,77,7,9,8,yes,yes,yes,yes,no,1,1,job,no,yes,stubborn,Technical,hard worker,no,no,Technical Engineer,Business process analyst,Drama
74,65,7,7,7,no,no,yes,no,no,1,1,higherstudies,no,yes,stubborn,Management,hard worker,yes,yes,Systems Security Administrator,system developer,Series
65,82,6,2,6,no,yes,yes,yes,yes,2,2,job,yes,no,gentle,Management,hard worker,yes,yes,Design & UX,testing,Childrens
93,94,4,8,6,yes,yes,yes,no,no,1,1,job,yes,yes,gentle,Management,smart worker,yes,no,Database Administrator,testing,Mystery
81,71,4,8,9,no,yes,yes,no,yes,1,3,higherstudies,yes,yes,gentle,Management,hard worker,yes,no,Programmer Analyst,cloud computing,Cookbooks
84,65,4,6,3,no,no,yes,yes,no,3,1,job,yes,yes,stubborn,Technical,hard worker,yes,no,Software Quality Assurance (QA) / Testing,testing,Prayer books
66,83,7,6,7,no,yes,yes,no,no,3,3,job,no,no,stubborn,Management,smart worker,no,no,CRM Business Analyst,system developer,Science fiction
78,69,12,6,9,no,no,yes,yes,yes,1,2,job,yes,yes,stubborn,Technical,hard worker,yes,no,Database Manager,testing,Encyclopedias
94,71,6,6,4,no,yes,yes,yes,yes,3,2,job,no,yes,gentle,Management,smart worker,no,yes,Software Developer,developer,Poetry
63,90,6,4,3,yes,yes,yes,yes,yes,1,3,higherstudies,no,yes,gentle,Management,smart worker,yes,no,Solutions Architect,testing,Dictionaries
66,67,12,8,6,no,no,no,no,no,2,3,higherstudies,no,no,stubborn,Management,hard worker,no,no,Information Security Analyst,security,Horror
93,67,10,7,1,no,no,yes,no,yes,2,2,higherstudies,no,yes,gentle,Management,smart worker,no,yes,Network Security Engineer,cloud computing,Self help
70,81,11,1,8,no,yes,yes,yes,no,3,3,higherstudies,yes,yes,gentle,Technical,hard worker,no,no,Network Engineer,cloud computing,Dictionaries
61,62,4,6,3,yes,no,no,no,no,2,3,job,yes,no,stubborn,Technical,hard worker,no,no,Technical Support,security,Trilogy
63,69,11,3,2,no,yes,yes,yes,yes,2,3,job,yes,yes,gentle,Management,smart worker,no,yes,Systems Analyst,security,Encyclopedias
70,78,11,7,5,no,yes,yes,no,yes,2,2,job,yes,yes,gentle,Technical,smart worker,no,yes,Information Technology Auditor,security,Self help
62,62,12,7,3,yes,no,no,no,no,2,3,higherstudies,no,no,gentle,Management,hard worker,no,yes,CRM Technical Developer,developer,Diaries
75,81,5,3,6,no,yes,no,yes,yes,1,1,job,yes,yes,stubborn,Technical,hard worker,no,yes,Technical Services/Help Desk/Tech Support,developer,Horror
64,69,5,9,9,yes,yes,yes,no,no,1,1,higherstudies,no,yes,gentle,Technical,hard worker,no,no,Software Quality Assurance (QA) / Testing,developer,Biographies
89,62,7,7,9,yes,no,yes,no,no,3,3,job,yes,no,stubborn,Management,hard worker,no,no,Business Systems Analyst,Business process analyst,Art
63,91,6,2,6,no,no,yes,no,no,1,2,job,no,yes,gentle,Management,hard worker,no,yes,Technical Engineer,testing,Fantasy
60,66,11,7,5,no,yes,yes,no,yes,2,3,job,no,no,gentle,Technical,hard worker,yes,yes,Technical Support,system developer,Poetry
62,84,12,3,9,no,no,no,no,yes,2,2,job,no,no,gentle,Technical,smart worker,yes,no,Information Technology Auditor,cloud computing,Romance
90,82,5,9,6,yes,yes,no,no,yes,3,2,job,no,yes,gentle,Technical,hard worker,yes,yes,Network Security Administrator,system developer,Trilogy
94,80,7,1,8,no,yes,yes,no,no,1,3,job,yes,yes,gentle,Management,smart worker,yes,no,Information Technology Manager,system developer,Encyclopedias
70,70,7,4,1,no,no,no,yes,yes,3,2,higherstudies,no,no,gentle,Management,hard worker,no,no,Web Developer,system developer,Guide
76,73,7,7,6,yes,yes,yes,yes,yes,1,3,higherstudies,no,yes,gentle,Technical,hard worker,no,no,Business Systems Analyst,cloud computing,Self help
76,62,9,6,1,no,no,no,yes,no,3,1,job,yes,no,stubborn,Technical,smart worker,yes,no,Systems Analyst,Business process analyst,Mystery
63,76,7,5,4,yes,no,no,no,no,2,3,job,yes,no,gentle,Technical,smart worker,no,yes,Web Developer,system developer,Horror
76,81,7,7,8,yes,no,yes,yes,yes,1,2,job,yes,no,gentle,Management,smart worker,no,no,Solutions Architect,system developer,Self help
69,65,9,3,2,no,no,yes,no,no,2,3,job,no,no,stubborn,Technical,smart worker,no,yes,UX Designer,Business process analyst,Guide
74,64,8,7,6,no,yes,yes,no,yes,3,2,job,no,no,stubborn,Technical,smart worker,yes,no,Network Engineer,developer,Biographies
85,84,6,2,1,yes,no,yes,yes,yes,3,1,job,yes,yes,stubborn,Technical,smart worker,no,no,Applications Developer,Business process analyst,Travel
75,63,7,8,4,no,yes,yes,yes,no,3,3,higherstudies,no,no,gentle,Technical,smart worker,no,no,Project Manager,security,Travel
74,94,12,3,1,no,no,no,no,yes,2,3,job,yes,no,gentle,Management,hard worker,no,no,UX Designer,cloud computing,Drama
92,67,4,1,6,yes,yes,no,yes,no,2,2,higherstudies,yes,no,stubborn,Technical,hard worker,yes,no,Database Administrator,testing,Guide
80,87,12,1,4,no,yes,yes,yes,no,3,3,job,no,no,stubborn,Management,smart worker,no,yes,Information Technology Auditor,security,Biographies
73,64,10,2,4,yes,no,no,no,yes,1,1,job,yes,yes,gentle,Management,smart worker,yes,no,Database Developer,security,Fantasy
73,80,10,2,7,yes,yes,no,no,yes,1,3,job,yes,yes,gentle,Technical,smart worker,yes,yes,Database Manager,system developer,Romance
78,88,12,7,3,no,yes,no,no,no,2,3,higherstudies,no,yes,stubborn,Technical,hard worker,no,yes,Software Systems Engineer,testing,Cookbooks
76,91,9,5,4,no,yes,no,yes,no,2,2,higherstudies,no,yes,stubborn,Management,hard worker,yes,yes,UX Designer,developer,Self help
60,93,6,3,8,no,yes,no,yes,no,3,3,job,no,no,stubborn,Management,smart worker,no,no,Solutions Architect,developer,Mystery
84,83,12,1,4,yes,no,no,no,no,1,2,job,no,yes,stubborn,Management,hard worker,yes,yes,Project Manager,cloud computing,Horror
79,89,10,2,1,yes,no,yes,yes,no,1,3,higherstudies,no,yes,gentle,Management,smart worker,no,yes,Network Engineer,Business process analyst,Health
92,62,10,8,9,yes,yes,no,yes,yes,3,3,higherstudies,yes,yes,gentle,Technical,hard worker,no,no,E-Commerce Analyst,security,Health
67,92,5,6,4,yes,yes,no,no,no,2,1,job,yes,no,stubborn,Management,smart worker,no,yes,Business Systems Analyst,testing,Anthology
76,66,5,8,9,no,yes,no,yes,yes,2,2,job,yes,yes,gentle,Management,smart worker,no,no,E-Commerce Analyst,system developer,Childrens
90,89,6,9,6,yes,yes,no,yes,yes,1,2,job,no,yes,stubborn,Technical,smart worker,no,no,Systems Security Administrator,Business process analyst,Satire
66,68,6,2,3,no,no,no,no,yes,2,3,job,no,yes,stubborn,Technical,smart worker,yes,yes,Mobile Applications Developer,testing,Science
91,75,11,9,7,yes,no,yes,yes,no,3,1,higherstudies,yes,yes,gentle,Management,smart worker,no,yes,Business Systems Analyst,security,Guide
65,88,4,4,6,yes,no,yes,no,yes,1,1,job,no,yes,stubborn,Technical,smart worker,no,no,Quality Assurance Associate,system developer,Horror
80,63,11,2,5,yes,yes,no,yes,no,3,1,higherstudies,no,yes,gentle,Management,hard worker,yes,no,Technical Engineer,system developer,Travel
73,64,6,9,5,yes,yes,no,no,yes,1,3,job,yes,no,gentle,Management,hard worker,yes,no,Data Architect,developer,Horror
94,60,5,3,1,yes,no,no,yes,yes,3,1,job,no,no,stubborn,Technical,hard worker,yes,yes,Software Quality Assurance (QA) / Testing,Business process analyst,Dictionaries
84,76,4,2,3,no,no,no,yes,yes,3,3,higherstudies,no,yes,stubborn,Management,smart worker,no,yes,CRM Technical Developer,cloud computing,Fantasy
68,67,7,3,9,yes,yes,no,yes,no,3,1,job,no,yes,gentle,Management,hard worker,no,yes,Database Developer,testing,Trilogy
71,90,12,7,2,yes,no,no,no,yes,1,1,job,no,no,stubborn,Technical,hard worker,no,no,Information Security Analyst,cloud computing,Science
83,65,4,2,1,no,yes,yes,yes,no,1,2,higherstudies,no,no,gentle,Technical,hard worker,yes,no,Software Systems Engineer,Business process analyst,Childrens
68,73,7,8,8,yes,yes,no,yes,yes,3,3,job,yes,yes,stubborn,Technical,hard worker,yes,no,Design & UX,security,Anthology
84,84,11,6,1,yes,no,yes,no,yes,2,3,job,yes,no,stubborn,Technical,smart worker,no,no,Database Developer,Business process analyst,Science
64,73,7,1,5,yes,yes,no,no,yes,2,1,higherstudies,no,no,gentle,Technical,hard worker,no,no,Systems Analyst,developer,Comics
69,89,6,4,4,no,yes,yes,yes,yes,2,1,job,yes,no,stubborn,Technical,hard worker,no,no,Business Intelligence Analyst,developer,Religion-Spirituality
62,82,6,9,6,yes,no,yes,no,no,2,1,job,no,no,stubborn,Management,hard worker,no,no,Software Engineer,security,Biographies
77,67,4,5,9,no,no,no,yes,no,1,2,job,yes,no,gentle,Technical,hard worker,no,yes,Network Security Administrator,testing,Mystery
84,74,10,8,1,no,no,yes,no,yes,1,2,job,yes,yes,gentle,Technical,hard worker,no,no,UX Designer,developer,Biographies
87,89,8,4,8,no,no,yes,no,no,1,3,higherstudies,yes,no,stubborn,Management,smart worker,yes,yes,Information Security Analyst,Business process analyst,Encyclopedias
86,94,11,8,4,yes,no,no,no,no,1,2,job,yes,no,stubborn,Management,hard worker,no,yes,Software Systems Engineer,Business process analyst,Horror
78,93,8,3,5,no,yes,yes,no,yes,3,1,job,no,yes,stubborn,Management,hard worker,yes,no,Network Engineer,security,History
65,65,12,9,2,yes,yes,no,no,no,1,1,higherstudies,yes,yes,gentle,Management,smart worker,no,yes,Network Security Administrator,Business process analyst,Travel
78,76,12,7,7,no,yes,no,yes,no,3,2,job,yes,no,gentle,Management,smart worker,no,no,Programmer Analyst,developer,Biographies
92,64,9,3,9,yes,no,no,yes,yes,3,2,job,no,yes,gentle,Technical,hard worker,no,no,Information Technology Manager,testing,Satire
82,85,7,7,7,no,no,no,no,no,3,1,higherstudies,no,no,stubborn,Management,hard worker,no,no,Web Developer,Business process analyst,Guide
68,89,11,8,2,no,yes,no,yes,yes,2,2,higherstudies,yes,yes,gentle,Management,smart worker,yes,yes,Web Developer,Business process analyst,Guide
91,60,12,1,5,no,no,yes,no,no,2,1,job,no,yes,stubborn,Management,hard worker,yes,yes,Portal Administrator,Business process analyst,Fantasy
61,64,7,3,9,yes,no,yes,yes,no,3,2,job,yes,yes,gentle,Management,hard worker,no,no,Solutions Architect,security,Mystery
92,90,12,4,8,yes,yes,no,yes,no,1,2,job,yes,no,stubborn,Management,smart worker,no,no,Portal Administrator,system developer,Action and Adventure
74,83,7,7,1,yes,no,yes,no,yes,2,1,job,no,yes,stubborn,Technical,hard worker,no,yes,Information Technology Manager,developer,History
91,84,8,8,6,yes,no,yes,no,no,2,1,job,no,yes,stubborn,Technical,smart worker,yes,no,Database Administrator,system developer,Childrens
69,77,5,3,2,no,no,no,yes,no,1,3,job,no,yes,stubborn,Technical,smart worker,yes,yes,Software Developer,system developer,Travel
91,83,11,1,3,no,yes,no,yes,yes,1,3,higherstudies,yes,no,gentle,Technical,hard worker,yes,no,Portal Administrator,Business process analyst,Health
83,93,9,2,5,no,no,yes,yes,yes,3,1,job,yes,yes,gentle,Management,smart worker,yes,yes,Applications Developer,testing,Guide
67,69,7,1,7,no,no,yes,no,yes,3,1,job,yes,yes,stubborn,Technical,hard worker,no,no,Design & UX,security,Health
82,65,8,2,3,yes,no,yes,yes,no,3,2,higherstudies,yes,no,gentle,Management,smart worker,no,no,Network Security Engineer,security,Science
64,81,5,7,3,yes,yes,no,no,yes,1,1,job,no,no,gentle,Technical,smart worker,no,yes,Solutions Architect,testing,Travel
75,60,5,8,3,yes,no,yes,yes,no,1,3,job,yes,no,gentle,Management,smart worker,no,no,Systems Analyst,system developer,Mystery
93,94,4,9,4,yes,yes,yes,yes,no,1,2,higherstudies,no,yes,gentle,Technical,hard worker,yes,yes,UX Designer,security,Self help
92,83,4,5,4,no,no,yes,no,yes,3,2,job,yes,no,stubborn,Technical,hard worker,no,yes,CRM Technical Developer,Business process analyst,Satire
